age,gender,monthly_income,instituition,region,location,type_of_student,type_of_employment,convenient_rental_car,difficulties_rental_car,reason_chosen_rental_car_company_convenient,reason_rental_car_convenience,reason_rental_car_occasions,affordable_bus,affordable_mrt,safe_taxi,safe_ride_hailing,safe_bus,safe_mrt,reason_taxi_comfort_of_privacy,reason_ride_hailing_ comfort_of_privacy,reason_ride_hailing_promotion,reason_taxi_promotion,customer_service_taxi,customer_service_ride_hailing,reason_ride_hailing_accessible,reason_taxi_more_accessible,reason_ride_hailing_easy_booking,cluster
18 - 21,Male,"$501 - $1,000",SMU,Central,Central Area / CBD,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Agree,Agree,"Strongly Agree
",0,0,0,0,Neutral,Agree,0,0,0,0
18 - 21,Male,"$501 - $1,000",SP,West,Jurong East,Part-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,0,Strongly Agree,"Strongly Agree
",0,1,0,0
18 - 21,Female,"$501 - $1,000",NTU,West,Jurong East,Full-time Student,Not employed,Yes,No,1,1,1,Strongly Agree,Agree,Strongly Agree,"Strongly Agree
",Neutral,Agree,1,1,0,1,Strongly Agree,"Strongly Agree
",1,1,1,0
22 - 25,Female,Below $500,SMU,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,Agree,0,0,1,1,Neutral,Agree,0,0,1,1
18 - 21,Female,"$1,001 - $2,000
",NUS,West,Bukit Batok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,0,0,1,0,Agree,"Strongly Agree
",1,1,0,0
22 - 25,Female,Below $500,SMU,Central,Bukit Merah,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Neutral,Agree,Agree,"Strongly Agree
",0,0,1,1,Strongly Agree,"Strongly Agree
",0,0,1,2
22 - 25,Male,"$501 - $1,000",SMU,Central,Queenstown,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,0,0,0,0,Neutral,Neutral,0,0,0,1
22 - 25,Male,"$2,001 - $3,000",SIT,North,Sembawang,Part-time Student,Employed Full-time,Yes,No,0,1,1,Strongly Agree,Agree,Agree,Agree,Agree,"Strongly Agree
",1,0,1,0,Disagree,Agree,0,0,0,1
22 - 25,Female,"$501 - $1,000",SMU,North-East,Punggol,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,"Strongly Agree
",0,0,1,0,Agree,Agree,1,0,0,1
22 - 25,Female,"$501 - $1,000",NTU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,0,0,0,0,Agree,Agree,0,0,0,1
22 - 25,Male,"$501 - $1,000",SMU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,"Strongly Agree
",Agree,"Strongly Agree
",0,1,1,1,Strongly Agree,"Strongly Agree
",1,1,1,1
18 - 21,Female,"$1,001 - $2,000
",NTU,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Agree,1,1,1,1
18 - 21,Female,"$501 - $1,000",NTU,North-East,Sengkang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,"Strongly Agree
",Strongly Agree,Neutral,0,0,1,0,Agree,Neutral,0,0,1,1
18 - 21,Male,Below $500,NUS,North-East,Punggol,Full-time Student,Not employed,Yes,No,1,1,0,Neutral,Agree,Agree,Neutral,Neutral,Agree,0,0,1,0,Agree,Neutral,1,1,1,1
22 - 25,Male,Prefer not to say,SMU,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Agree,Agree,"Strongly Agree
",0,0,1,1,Neutral,Agree,1,1,1,0
22 - 25,Male,"$501 - $1,000",NTU,East,Pasir Ris,Part-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Neutral,Neutral,Disagree,"Strongly Agree
",1,0,0,0,Agree,Neutral,1,0,0,1
18 - 21,Female,Below $500,SMU,Central,Central Area / CBD,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,Agree,0,0,1,1,Neutral,Neutral,0,0,0,0
22 - 25,Female,Below $500,NTU,Central,Geylang,Full-time Student,Not employed,No,Yes,1,1,1,Disagree,Agree,Agree,Agree,Agree,Neutral,0,0,1,1,Neutral,Neutral,1,1,0,0
22 - 25,Male,Below $500,NTU,North-East,Ang Mo Kio,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Disagree,Neutral,Agree,"Strongly Agree
",1,1,1,1,Neutral,Agree,1,1,0,2
18 - 21,Female,Prefer not to say,SMU,Central,Central Area / CBD,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,"Strongly Agree
",0,0,1,1,Agree,Agree,0,0,0,0
22 - 25,Male,Below $500,NUS,West,Clementi,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,0,Strongly Disagree,"Strongly Disagree
",1,1,0,0
18 - 21,Female,"$501 - $1,000",SMU,Central,Central Area / CBD,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,0,0,1,0,Disagree,Neutral,1,1,0,0
18 - 21,Female,"$501 - $1,000",SMU,West,Jurong West,Full-time Student,Not employed,Yes,No,1,0,1,Agree,Disagree,Agree,Agree,Agree,Agree,0,0,0,0,Neutral,Neutral,0,0,0,0
26 - 29,Male,">$3,001",NUS,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Neutral,Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,1,0,0,Agree,"Strongly Agree
",1,0,1,1
18 - 21,Female,Below $500,SMU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Disagree,Agree,Neutral,Agree,Agree,0,0,0,1,Agree,"Strongly Agree
",1,0,0,2
22 - 25,Male,"$501 - $1,000",NTU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Neutral,Neutral,Agree,Agree,Agree,0,1,1,1,Neutral,Agree,1,1,1,1
22 - 25,Male,Below $500,SMU,North-East,Sengkang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,0,Neutral,Agree,0,1,1,1
26 - 29,Female,Prefer not to say,NP,Central,Marine Parade,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,0,0,0,0,Disagree,Neutral,0,0,0,1
18 - 21,Female,Below $500,SMU,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Neutral,"Strongly Agree
",0,0,0,0,Agree,Agree,1,1,0,1
22 - 25,Female,"$501 - $1,000",SIM,North,Yishun,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,1,Agree,Agree,0,0,0,1
26 - 29,Male,">$3,001",Coursera,North-East,Sengkang,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Agree,Neutral,Agree,0,0,0,0,Agree,Agree,1,1,0,1
18 - 21,Female,Below $500,NTU,North-East,Sengkang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,0,Agree,Agree,0,0,0,1
22 - 25,Female,Prefer not to say,Murdoch ,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,0,0,1,1,Neutral,Neutral,1,0,0,1
18 - 21,Female,Below $500,SMU,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Disagree,Agree,0,0,0,1
22 - 25,Female,"$501 - $1,000",NTU,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,Neutral,0,0,1,1
18 - 21,Female,"$1,001 - $2,000
",SMU,Central,Bukit Timah,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,"Strongly Agree
",Agree,Agree,Strongly Agree,Neutral,0,0,1,1,Agree,Agree,1,0,0,0
18 - 21,Female,Below $500,SMU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Disagree,Agree,Agree,Agree,Agree,1,1,0,0,Agree,Agree,0,1,1,1
18 - 21,Female,"$1,001 - $2,000
",NP,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,0,Agree,Agree,0,1,1,1
22 - 25,Female,Below $500,NUS,North,Yew Tee,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Disagree,Agree,Agree,Agree,Agree,0,0,0,0,Agree,Agree,0,0,0,1
22 - 25,Female,Prefer not to say,SMU,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,1,1,1,Neutral,Neutral,0,0,0,1
18 - 21,Male,Below $500,SMU,North-East,Hougang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Strongly Agree,"Strongly Agree
",1,0,0,0
18 - 21,Female,Below $500,NTU,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",1,0,1,0,Strongly Agree,"Strongly Agree
",0,0,0,1
22 - 25,Male,Prefer not to say,NTU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Disagree,Agree,Neutral,1,1,1,1,Neutral,Neutral,0,1,0,1
22 - 25,Female,Prefer not to say,NTU,Central,River valley,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,0,0,1,1,Neutral,Neutral,0,0,0,1
18 - 21,Female,"$501 - $1,000",SMU,West,Clementi,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Disagree,Agree,Agree,Agree,Agree,0,0,1,0,Agree,Agree,0,1,0,0
22 - 25,Male,Below $500,SIT,North-East,Punggol,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,Neutral,Neutral,1,1,0,1
18 - 21,Female,"$2,001 - $3,000",Durham University,Central,Queenstown,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,0,0,Neutral,Neutral,0,0,1,1
18 - 21,Female,"$1,001 - $2,000
",NTU,North-East,Hougang,Full-time Student,Not employed,Yes,Yes,1,1,1,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",1,1,1,1,Agree,"Strongly Agree
",1,1,1,0
22 - 25,Female,Below $500,NTU,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Agree,Agree,Agree,0,0,1,0,Neutral,Neutral,0,0,0,0
22 - 25,Female,"$501 - $1,000",SMU,Central,Bukit Timah,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Neutral,Agree,Agree,Strongly Agree,"Strongly Agree
",1,1,1,1,Neutral,Neutral,1,0,0,0
22 - 25,Male,"$501 - $1,000",NTU,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Disagree,Agree,Agree,0,0,0,1,Strongly Agree,Neutral,1,0,0,1
22 - 25,Female,Below $500,SIT,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,0,0,1,1,Agree,Agree,0,1,0,1
18 - 21,Female,Below $500,NTU,North,Sembawang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Disagree,Agree,Agree,Agree,0,0,0,0,Agree,Agree,0,0,1,1
18 - 21,Female,Below $500,NTU,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,1,1,1,1,Agree,Agree,0,0,0,0
22 - 25,Female,"$501 - $1,000",NUS,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,Neutral,Strongly Agree,"Strongly Agree
",1,1,1,1,Neutral,Neutral,1,1,1,1
22 - 25,Female,"$1,001 - $2,000
",SMU,North-East,Sengkang,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Disagree,Agree,Strongly Agree,Agree,0,0,1,0,Strongly Agree,Agree,0,0,0,1
18 - 21,Female,"$501 - $1,000",NTU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Agree,Agree,Agree,Agree,Neutral,0,0,1,1,Agree,Agree,0,0,0,2
22 - 25,Female,"$501 - $1,000",SUSS,North-East,Hougang,Part-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,0,Neutral,Agree,0,0,0,0
22 - 25,Female,"$501 - $1,000",NTU,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Neutral,Agree,Agree,1,1,1,1,Neutral,"Strongly Agree
",0,0,0,1
22 - 25,Female,"$2,001 - $3,000",NTU,West,Jurong East,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"Strongly Agree
",1,1,0,0,Strongly Agree,"Strongly Agree
",0,0,0,0
22 - 25,Female,"$501 - $1,000",NTU,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Strongly Agree,Agree,0,0,1,0,Disagree,Agree,0,0,0,1
18 - 21,Prefer not to say,Below $500,NTU,Central,Bukit Timah,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,0,0,1,1,Neutral,Neutral,0,0,0,0
22 - 25,Male,Prefer not to say,SMU,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Agree,Agree,Agree,1,0,1,1,Neutral,Neutral,1,1,1,0
18 - 21,Female,Below $500,SMU,Central,Geylang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,"Strongly Agree
",0,0,0,0,Neutral,Neutral,0,0,0,0
22 - 25,Male,Below $500,NTU,Central,Bukit Merah,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,0,0,1,1,Neutral,Neutral,1,0,0,0
18 - 21,Female,Below $500,NTU,West,Clementi,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Neutral,Agree,Agree,1,1,0,0,Disagree,Agree,1,1,1,0
22 - 25,Female,Prefer not to say,SIT,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Agree,Agree,Disagree,Neutral,Neutral,1,1,1,1,Agree,Agree,0,0,0,1
18 - 21,Male,Below $500,NTU,North,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Disagree,Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,1,0,Agree,Neutral,1,1,0,1
18 - 21,Female,Below $500,NTU,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,1,1,Agree,Agree,0,0,0,0
22 - 25,Female,"$501 - $1,000",SMU,West,Choa Chu Kang,Full-time Student,Not employed,No,Yes,1,1,1,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Agree,0,1,1,0
18 - 21,Female,Below $500,SMU,Central,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Agree,Strongly Agree,"Strongly Agree
",0,1,1,0,Neutral,Agree,1,0,0,1
22 - 25,Female,"$1,001 - $2,000
",Psb Academy (La trobe uni),North,Yishun,Part-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,0,0,0,0,Agree,Agree,0,0,0,1
22 - 25,Female,"$501 - $1,000",NTU,West,Choa Chu Kang,Full-time Student,Not employed,Yes,No,1,1,1,Agree,"Strongly Agree
",Agree,Agree,Agree,Agree,1,1,1,1,Agree,Agree,1,1,1,0
26 - 29,Male,Prefer not to say,SMU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,0,0,1,1,Neutral,Neutral,0,0,0,1
26 - 29,Male,Below $500,SUSS,Central,Bishan,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,0,Agree,"Strongly Agree
",0,0,1,2
22 - 25,Female,"$1,001 - $2,000
",SMU,West,Choa Chu Kang,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Agree,Agree,"Strongly Agree
",0,0,1,1,Agree,Agree,0,0,0,0
22 - 25,Male,Below $500,SMU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,0,0,0,0,Neutral,Neutral,1,1,0,2
22 - 25,Female,Below $500,NUS,Central,Bishan,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,1,1,0,Agree,Agree,1,1,1,2
18 - 21,Female,"$501 - $1,000",SMU,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,Agree,1,1,0,0
18 - 21,Female,Below $500,SMU,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,0,0,Agree,Agree,0,1,0,1
22 - 25,Female,Below $500,NTU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,Agree,1,1,1,1
22 - 25,Male,Below $500,NTU,West,Taman Jurong,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Neutral,Agree,0,0,1,1,Agree,Agree,1,1,0,1
