id,age,gender,monthly_income,tertiary_student,instituition,region,location,type_of_student,type_of_employment,frequently_used_mot,frequency_mot,preferred_mot,reason_least_preferred_mot,circ_least_preferred_mot,factors_mot_ranking,overall_avg_spending,research,comfortable,explore,frequently_used_mot_cnt,most_preferred_mot,least_preferred_mot,most_impt_factor,least_impt_factor,frequency_bus,waiting_time_bus,reason_bus,affordable_bus,accesible_bus,safe_bus,prevent_bus,chartered_bus,occasion_chartered_bus,price_chartered_bus,frequency_mrt,spend_mrt,reason_mrt,mrt_lines,affordable_mrt,accessible_mrt,waiting_mrt,safe_mrt,prevent_mrt,mrt_lines_cnt,frequency_taxi,waiting_time_taxi,way_hail,reason_taxi,preference_rank_taxi,affordable_taxi,accessible_taxi,safe_taxi,customer_service_taxi,difficulties_taxi,prevent_taxi,most_preferred_taxi,least_preferred_taxi,frequency_ride_hailing,reason_ride_hailing,ride_hailing_type,preference_rank_ride_hailing,reason_ride_hailing_company,affordable_ride_hailing,safe_ride_hailing,customer_service_ride_hailing,difficulties_ride_hailing,prevent_ride_hailing,used_ride_hailing_svc_cnt,most_preferred_ride_hailing,least_preferred_ride_hailing,own_driving_license,rent_before,preference_rank_rental_car,reason_rental_car_company,frequency_rental,duration_rental,reason_rental_car,difficulties_rental_car,difficulties_reason_rental_car,convenient_rental_car,convenient_reason_rental_car,affordable_rental_car,reasonable_rental_car,type_rental_car,perception_rental_car,max_price_rental_car,biz_model_rental,biz_model_reason_rental,biz_model_important_rental,prevent_rental,type_rental_car_heard_cnt,aware_cdg,used_cdg,accessibility_cdg,cs_cdg,cost_cdg,comfort_cdg,reliability_cdg,info_cdg,overall_rating_cdg,perception_cdg,improvement_cdg,incentives_cdg,aware_cdg_cnt,used_cdg_cnt
121,22 - 25,Female,"$501 - $1,000",Yes,SMU,West,Choa Chu Kang,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",3 - 4 days a week,"['Ride-hailing services', 'Bus\xa0', 'MRT', 'Taxi', 'Car rentals', 'Others: Cycle, Walk, Drive']","car rentals are expensive, prefer not to walk or cycle unless necessary and no car to drive",unless necessary ,"['Travel Time', 'Price', 'Comfort', 'Waiting Time', 'Safety', 'Reliability', 'Service Information', 'Physical Accessibility', 'Customer Service']",$50-$100,9,7,3,3,Ride-hailing services,"Others: Cycle, Walk, Drive",Travel Time,Customer Service,2-4 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Long travel time', 'Bulky items', 'Too crowded']",No,,,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'North-South Line (Red Line)', 'East-West Line (Green Line)']",Agree,Disagree,Agree,Agree,"['Long wait time', 'Long travel time']",3,Never,More than 10 mins,['Online/In-app'],"['When it is more accessible', 'When there is a promotion', 'When it is easy to book']","['ComfortDelgro', 'SMRT Taxi', 'Trans-Cab', 'CityCab', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Disagree,Agree,Agree,peak periods,"['Too costly', 'Private hire is cheaper', 'Not convenient']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is easy to book', 'When there is a promotion', 'When it is more convenient']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",[''],"Strongly Disagree
",Agree,Agree,everytime,"['Too costly', 'Poor driving']",2,Grab,Others,Yes,Yes,"['BlueSG', 'GetGo', 'Tribecar', 'LionCity Rental', 'Grabcar Rental', 'Lumens Auto', ' No preference']","['Convenient', 'Reasonable and Fair Policies']",Once every quarter,1 - 3 hours,"['Too costly to own a car', 'Convenience', 'Occasions']",Yes,"can’t find car in car parks, unnecessary stress over disputes of car damages, spoilt features in cars ",No,not in carparks near me,Disagree,Disagree,[''],,,['Free-floating'],['Convenience'],9,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,"['Promotion codes', 'Competitive prices', 'More locations to rent from']",1,1
122,18 - 21,Female,Below $500,Yes,SMU,Central,Prefer not to say,Full-time Student,,"['MRT', 'Bus']",Once a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",expensive for taxi & already have a family car,if everything else is unavailable & i have something extremely urgent i need to do,"['Price', 'Waiting Time', 'Reliability', 'Travel Time', 'Comfort', 'Safety', 'Physical Accessibility', 'Service Information', 'Customer Service']",Less than $50,10,8,2,2,MRT,Car rentals,Price,Customer Service,Once a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Long travel time', 'Bulky items', 'Too crowded']",No,,,One day per week,30-45 mins,"['To get to the relevant bus stop', 'To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
","['Long travel time', 'Long wait time', 'Bulky items', 'Too crowded']",2,Never,Less than 5 mins,['Flag down'],['When it is more convenient'],"['ComfortDelgro', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Strongly Disagree,Disagree,Neutral,Neutral,nil,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more convenient', 'When there is a promotion', 'When I need the comfort of privacy', 'When it is more accessible']","['Grab', 'ComfortDelGro']","['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",[''],Agree,Agree,Agree,,"['Poor customer service', 'Poor driving', 'Too costly']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'Grabcar Rental']",could be useful but nvr tried to test,< $3,['Free-floating'],['Convenience'],7,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",3,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No particular opinion.,Make their services cheaper,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
123,22 - 25,Female,"$1,001 - $2,000
",Yes,Psb Academy (La trobe uni),North,Yishun,Part-time Student,Employed Part-time,"['MRT', 'Bus']",3 - 4 days a week,"['MRT', 'Bus\xa0', 'Taxi', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Car rentals']",Don't know how to drive and don't really see a need to use them when i can take public transport and save the cost ,If the above few choices are not available.,"['Price', 'Travel Time', 'Physical Accessibility', 'Waiting Time', 'Safety', 'Comfort', 'Reliability', 'Service Information', 'Customer Service']",Less than $50,8,6,8,2,MRT,Car rentals,Price,Customer Service,2-4 times a week,Less than 10 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'Directly to work/school']",Agree,Agree,Agree,"['Too crowded', 'Long waiting time', 'Long travel time']",No,,< $100,3-4 days per week,45-60 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['North-South Line (Red Line)', 'East-West Line (Green Line)']",Neutral,Agree,"Strongly Agree
",Agree,"['Long travel time', 'Bulky items', 'Too crowded']",2,Never,5-10 mins,"['Call', 'Flag down']",['When it is more convenient'],"['ComfortDelgro', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'Prime Taxi', 'Yellow-Top Taxi', 'CityCab']",Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Mrt breakdown leading to overcrowding at bus stations and buses,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,CityCab,None,['When it is more convenient'],"['Grab', 'ComfortDelGro']","['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",['Recommend by family and friend'],Neutral,Agree,Agree,Mrt breakdown,"['Poor driving', 'Too costly', 'Poor customer service', 'Long wait time']",2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar']",Quite good. So far no bad reviews from people whom i know have used them,$3.01 - $5,['Free-floating'],['Convenience'],4,"['Inconvenient Pickup Locations', 'Costly']",2,['Taxi'],['Taxi'],Very satisfied,Somewhat satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Reputable,Nil,['Promotion codes'],1,1
124,22 - 25,Female,"$501 - $1,000",Yes,NTU,West,Choa Chu Kang,Full-time Student,,"['Bus', 'MRT', 'Taxi', 'Ride-hailing services']",Daily,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",Expensive/inconvenient,When all earlier options are exhausted ,"['Price', 'Travel Time', 'Reliability', 'Safety', 'Physical Accessibility', 'Comfort', 'Waiting Time', 'Customer Service', 'Service Information']",$50-$100,3,5,5,4,MRT,Car rentals,Price,Service Information,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Long travel time']",No,When many people have to travel as a group to a certain place and there is funding available,< $100,5-6 days per week,45-60 mins,"['To get to the relevant bus stop', 'To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)', 'North-South Line (Red Line)', 'Bukit Panjang LRT']","Strongly Agree
","Strongly Agree
","Strongly Agree
",Agree,"['Long wait time', 'Bulky items']",5,Once a week,Less than 5 mins,['Online/In-app'],"['When there is a promotion', 'When it is easy to book', 'When it is more convenient', 'When I need the comfort of privacy', 'When it is more accessible']","['ComfortDelgro', 'SMRT Taxi', 'CityCab', 'Trans-Cab', 'Prime Taxi', 'Premier Taxi', 'Yellow-Top Taxi']",Disagree,Agree,Agree,Agree,Long waiting times? I was at home and no taxis were nearby ,"['Long waiting time', 'Poor customer service', 'Not convenient', 'Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']","['Points accumulated, convenience, able to see where I am goin']",Agree,Agree,Agree,I was at school during peak hours and no one was nearby that could pick me up,"['Long wait time', 'Poor customer service', 'Poor driving', 'Too costly']",2,Grab,Others,Yes,Yes,"[' No preference', 'BlueSG', 'GetGo', 'Tribecar', 'LionCity Rental', 'Grabcar Rental', 'Lumens Auto']","['Cheap', 'Overseas…?', 'Convenient', 'Reasonable and Fair Policies', 'Insurance Coverage']",Once a year,1 week,"['Convenience', 'Occasions', 'Too costly to own a car', 'Lesser liabilities']",No,,Yes,,Neutral,Neutral,[''],,,['Free-floating'],"['Cost', 'Convenience', 'Reliability']",5,"['Inconvenient Pickup Locations', 'Costly', 'Age Restrictions', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Neutral,Neutral,Somewhat satisfied,Somewhat satisfied,Theyre alright,Make information easily accessible via the use of technology,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
125,26 - 29,Male,Prefer not to say,Yes,SMU,North,Yishun,Full-time Student,,"['MRT', 'Ride-hailing services']",3 - 4 days a week,"['Ride-hailing services', 'Taxi', 'MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Car rentals']",,,"['Price', 'Travel Time', 'Safety', 'Comfort', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Waiting Time', 'Service Information']",$100-$150,4,5,5,2,Ride-hailing services,Car rentals,Price,Service Information,Once a week,10-20 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'Directly to work/school']",Neutral,Agree,Neutral,['Bulky items'],Yes,Army purposes,I don't know,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]",['North-South Line (Red Line)'],Neutral,Agree,Agree,Agree,['break downs'],1,Once a week,5-10 mins,['Online/In-app'],"['When there is a promotion', 'Urgent rides']","['ComfortDelgro', 'Trans-Cab', 'SMRT Taxi', 'Prime Taxi', 'CityCab', 'Yellow-Top Taxi', 'Premier Taxi']",Neutral,Agree,Neutral,Neutral,"MRT breakdowns, massive bookings, certain area with less cabs","['Too costly', 'Private hire is cheaper']",ComfortDelgro,Premier Taxi,Once a week,"['When there is a promotion', 'Urgent Rides']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Easy booking'],Neutral,Neutral,Neutral,"MRT Breakdowns, certain area with less people around","['Too costly', 'Poor driving']",2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],Convenient,$3.01 - $5,"['Free-floating', 'Station-based']",['Convenience'],5,"['Costly', 'Safety of Car Maintenance']",1,['Taxi'],['Taxi'],Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Price comparison adjustments with Grabs and etc ,-,['Promotion codes'],1,1
126,26 - 29,Male,Below $500,Yes,SUSS,Central,Bishan,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",5 - 6 days a week,"['MRT', 'Ride-hailing services', 'Bus\xa0', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']",Not convenient,If the pathway is shorten or the app is user friendly.,"['Safety', 'Reliability', 'Travel Time', 'Waiting Time', 'Customer Service', 'Price', 'Physical Accessibility', 'Service Information', 'Comfort']",$50-$100,9,8,9,3,MRT,Car rentals,Safety,Comfort,Daily,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long travel time', 'Long waiting time', 'Bulky items']",No,,I don't know,Daily,15-30 mins,"['To get to the relevant bus stop', 'To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)', 'North-South Line (Red Line)']",Agree,Agree,Agree,Agree,"['Bulky items', 'Too crowded']",4,Never,Immediate,['Online/In-app'],"['When it is easy to book', 'When it is more convenient']","['ComfortDelgro', 'CityCab', 'Premier Taxi', 'Trans-Cab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Neutral,Agree,Agree,"Alot taxi on call, hard to flagdown","['Long waiting time', 'Too costly']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",[''],Agree,Agree,"Strongly Agree
",,"['Too costly', 'Long wait time']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'Grabcar Rental', 'LionCity Rental', 'Lumens Auto']",,$3.01 - $5,['Station-based'],"['Convenience', 'Reliability']",9,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage', 'Safety of Car Maintenance']",5,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,"['Competitive prices', 'Giveaways and contests', 'Promotion codes']",1,1
127,22 - 25,Female,"$1,001 - $2,000
",Yes,SMU,West,Choa Chu Kang,Full-time Student,Employed Part-time,"['Bus', 'MRT']",Daily,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Taxi', 'Ride-hailing services', 'Car rentals']","cost sometime increase alot for taxi or ride-hailing services, have never tried car rentals before",when i am in a rush for taxi. when there is a good promotion for me to sign up for rental car membership,"['Price', 'Travel Time', 'Waiting Time', 'Comfort', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information', 'Safety']",$50-$100,2,6,5,2,MRT,Car rentals,Price,Safety,2-4 times a week,Less than 10 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Neutral,Agree,Agree,"['Long waiting time', 'Too crowded', 'Bulky items']",No,During special occasion to cater to big groups.,< $100,Daily,45-60 mins,"['To get to the relevant bus stop', 'To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)', 'North-South Line (Red Line)', 'Bukit Panjang LRT']",Neutral,"Strongly Agree
","Strongly Agree
","Strongly Agree
","['Too crowded', 'when the station is not near me ']",5,Once a week,5-10 mins,"['Online/In-app', 'Flag down']",['When there is a promotion'],"['ComfortDelgro', 'CityCab', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Neutral,Agree,Agree,NIL,"['Long waiting time', 'Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,Once a week,['When there is a promotion'],"['Grab', 'ComfortDelGro', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Already a form of habit to open Grab and Gojek applicatio'],Disagree,Agree,Agree,,"['Long wait time', 'Too costly']",3,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'GetGO']",Not accessible because lack of cars stationed around my area.,$5.01 - $7,['Free-floating'],['Convenience'],5,"['Inconvenient Pickup Locations', 'Type of rental car provided', 'Insurance Coverage', 'Costly']",3,"['Taxi', 'Rent-A-Car']","['Taxi', 'Rent-A-Car']",Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,"['Competitive prices', 'Promotion codes']",2,2
128,22 - 25,Male,Below $500,Yes,SMU,West,Bukit Panjang,Full-time Student,,['MRT'],3 - 4 days a week,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Car rentals', 'Others: Cycle, Walk, Drive']","No car rental around my area. Not very familiar with driving. Usually in a rush or timeline to meet, so its abit hard to increase the time allowance for cycling or walking. ",I will walk only when the distance is reasonable and there time required by public transport is longer or equal. I will take car rental when there is no public transport available and its very far away. ,"['Travel Time', 'Waiting Time', 'Physical Accessibility', 'Reliability', 'Price', 'Customer Service', 'Service Information', 'Comfort', 'Safety']",$50-$100,10,8,5,1,MRT,"Others: Cycle, Walk, Drive",Travel Time,Safety,2-4 times a week,10-20 minutes,['When travelling to the nearby MRT Stations'],Neutral,Neutral,Neutral,"['Long travel time', 'Long waiting time', 'Too crowded']",No,when moving big groups of people from point a to point b.,$121 - $140,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)']",Neutral,Neutral,"Strongly Agree
",Agree,['train station is too far away'],2,Never,More than 10 mins,['Online/In-app'],"['When it is more convenient', 'When it is more accessible', 'when its claimable, or in a big rush']","['ComfortDelgro', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Neutral,Neutral,Neutral,in the early morning at tengah air base,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more accessible', 'When it is more convenient']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Tada Mobility', 'Ryde', 'Others']","['there is a point system, rewarded after each ride. Easy to track spending on the app as well.']",Neutral,Neutral,Neutral,Tengah Air base in the early morning ,"['Long wait time', 'Too costly']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'LionCity Rental', 'Grabcar Rental']","BlueSg is for electric cars. Tribecar and lioncity is more for PHV drivers. Havent seen any grabcar rental, only heard of it. ",$3.01 - $5,['Free-floating'],"['Convenience', 'Cost', 'Reliability']",10,"['Inconvenient Pickup Locations', 'Insurance Coverage', 'Costly', 'Safety of Car Maintenance', 'drop off location rule. Point A to point A or point a to point b. ']",4,"['Taxi', 'Chartered Bus']","['Taxi', 'Chartered Bus']",Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Big MNC supported by Blackrock,Find a way to differentiate from GRAB to get a bigger market share. Maybe they should buy over all the other smaller taxi firms or combine and work together. instead of small operators,"['More locations to rent from', 'Competitive prices']",2,2
129,22 - 25,Female,Below $500,Yes,NUS,Central,Bishan,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",5 - 6 days a week,"['MRT', 'Ride-hailing services', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",I can’t drive and it is harder to hail taxis along the road.,,"['Travel Time', 'Price', 'Comfort', 'Safety', 'Reliability', 'Physical Accessibility', 'Customer Service', 'Waiting Time', 'Service Information']",$100-$150,3,8,0,3,MRT,Car rentals,Travel Time,Service Information,2-4 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,['Too crowded'],No,,I don't know,3-4 days per week,15-30 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'Downtown Line (Blue Line)', 'North-South Line (Red Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
",['Bulky items'],3,Never,5-10 mins,['Online/In-app'],"['When it is more convenient', 'When it is easy to book', 'When it is more accessible']","['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Neutral,Agree,Agree,NIL,"['Long waiting time', 'Not convenient', 'Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When I need the comfort of privacy', 'When it is more accessible', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek', 'Ryde', 'Tada Mobility']","['Grab', 'Tada Mobility', 'Gojek', 'Ryde', 'Comfort DelGro', 'Others']",[''],Agree,Agree,Agree,,"['Too costly', 'Long wait time']",4,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'Grabcar Rental']",,$3.01 - $5,"['Free-floating', 'Station-based']",['Convenience'],8,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage', 'Safety of Car Maintenance']",3,[''],[''],Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,[''],1,1
130,18 - 21,Female,"$501 - $1,000",Yes,SMU,East,Pasir Ris,Full-time Student,,"['Bus', 'MRT']",3 - 4 days a week,"['Bus\xa0', 'MRT', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Car rentals', 'Taxi']",expensive,late at night when public transport is closed,"['Price', 'Travel Time', 'Physical Accessibility', 'Waiting Time', 'Safety', 'Comfort', 'Reliability', 'Service Information', 'Customer Service']",$50-$100,7,7,8,2,Bus ,Taxi,Price,Customer Service,5-6 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Long travel time']",No,,I don't know,5-6 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)"", 'To get to the relevant bus stop']","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']",Agree,Agree,"Strongly Agree
","Strongly Agree
","['Long travel time', 'Too crowded', 'Bulky items']",3,Never,5-10 mins,"['Online/In-app', 'Flag down']","['When it is more accessible', 'When there is a promotion', 'When it is more convenient']","['ComfortDelgro', 'CityCab', 'SMRT Taxi', 'Yellow-Top Taxi', 'Trans-Cab', 'Prime Taxi', 'Premier Taxi']",Disagree,Agree,Agree,Neutral,late at night no taxis,"['Long waiting time', 'Too costly', 'Private hire is cheaper', 'Not convenient']",ComfortDelgro,Premier Taxi,None,"['When there is a promotion', 'When it is more convenient', 'When it is more accessible']","['Grab', 'Gojek']","['Gojek', 'Grab', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",['i know how to us'],Neutral,Neutral,Agree,late at night no cars available,"['Poor driving', 'Too costly']",2,Gojek,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar']",NIL,$3.01 - $5,['Free-floating'],"['Convenience', 'Cost', 'Reliability']",8,"['Costly', 'Inconvenient Pickup Locations', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",2,['Taxi'],['Taxi'],Very satisfied,Somewhat satisfied,Neutral,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Ok,reduce cost,"['More locations to rent from', 'Competitive prices', 'Promotion codes', 'Giveaways and contests']",1,1
131,18 - 21,Female,Below $500,Yes,SMU,Central,Toa Payoh,Full-time Student,,"['Bus', 'MRT']",3 - 4 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Taxi', 'Ride-hailing services', 'Car rentals']",Expensive and unnecessary,"Ride-hailing: emergency, taking with others
Car rentals: overseas? Never had to use in SG","['Price', 'Physical Accessibility', 'Travel Time', 'Waiting Time', 'Reliability', 'Safety', 'Comfort', 'Customer Service', 'Service Information']",$50-$100,9,10,5,2,MRT,Car rentals,Price,Service Information,2-4 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Long travel time', 'Bulky items']",No,,I don't know,3-4 days per week,15-30 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)']","Strongly Agree
","Strongly Agree
",Agree,"Strongly Agree
","['Long travel time', 'Bulky items']",2,Never,More than 10 mins,['Flag down'],['When it is more accessible'],"['ComfortDelgro', 'SMRT Taxi', 'Trans-Cab', 'CityCab', 'Yellow-Top Taxi', 'Premier Taxi', 'Prime Taxi']",Disagree,Agree,Strongly Agree,Agree,"During morning rush hour, can't remember where","['Too costly', 'Long waiting time']",ComfortDelgro,Prime Taxi,None,['When others are doing so too'],"['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']","[""They're the only ones I kno""]",Disagree,"Strongly Agree
",Agree,No,['Too costly'],2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['No'],,< $3,"[""Doesn't matter""]","[""Doesn't matter""]",0,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Household name for taxis,I don't use them enough to know,[''],1,1
