year,verbatim_reasons
2017,HAD ALWAYS ENJOY A SMOOTH RIDE EXPERIENCE
2017,TRAIN ARRIVAL TIMING IS VERY ACCURATE AND ON TIME
2017,
2017,WE CAN GET TO OUR SPECIFIC LOCATIONS EASILY WITH LRT
2017,THE LRT ARRIVES PUNCTUALLY MOST OF THE TIME SHOWN ON THE TIME ARRIVAL BOARD
2017,CONVENIENT AND FAST TO USE THE LRT SERVICE TO TRAVEL AROUND BUKIT PANJANG OR TO THE INTERCHANGE
2017,IT IS VERY SIMPLE TO TOP UP MY EZ-LINK AT THE LRT STATION WITH THE TOP UP MACHINE
2017,TRAIN IS VERY PACK DURING PEAK HOUR
2017,THERE ARE LIFTS AT THE TRAIN STATION WHICH IS VERY CONVENIENT FOR ME ELDERLY AND HANDICAP PEOPLE
2017,
2017,TICKETING MACHINE IS VERY USER FRIENDLY AND STRAIGHT FORWARD
2017,"NOTHING TO COMPLAINT ABOUT, THE LRT IS AFFORDABLE AND FERRY QUICKLY TO THE INTERCHANGE"
2017,IT IS FAST AS IT WILL NOT END UP IN THE TRAFFIC LIKE THE BUSES
2017,TRAIN IS FAST AND COMFORTABLE
2017,"SO FAR SO GOOD, HAS BEEN SERVING ME WELL MOST OF THE TIME"
2017,
2017,
2017,"THE STATIONS AND TRAINS ARE CLEAN, PRICE OF THE FARE IS REASONABLE TOO"
2017,
2016,THE TRAIN SERVICE IS RELIABLE AND FAST
2016,"CONVENIENT, QUICK AND CHEAP TO TAKE THE TRAIN SERVICE"
2016,
2016,
2016,
2016,THE TICKETING MACHINES USED TO TOP UP CARD IS SIMPLE TO USE
2016,THE TRAIN HARDLY BREAKDOWN
2016,
2016,
2016,
2016,
2016,
2016,"SEEN QUITE A FEW TIMES, WORKER WAS WASHING THEIR FEET IN THE TOILET BASIN, THEY SHOULD PREVENT THIS FROM HAPPENING"
2016,TAKING THE TRAIN IS MORE ACCURATE IN TRAVEL TIME AS THERE IS NO TRAFFIC INVOLVED
2016,SMOOTH RIDE AND COMFORTABLE ATMOSPHERE IN THE CABIN
2016,"VERY FAST, NEVER ENCOUNTER DISRUPTION, USHERS ARE POLITE AND HELPFUL"
2016,PRICE KEEPS INCREASING BUT THE SERVICE ARE FAST AND CONVENIENT THOUGH
2016,EASY TO TRAVEL BY MRT BUT THE PRICE IS GETTING HIGHER
2016,STATION IS NEW AND WELL MAINTAINED
2016,
2016,OPERATION HOURS ARE REALISTIC AND I BELIEVE IT WILL CATER TO MOST OF THE PEOPLE THAT USES THEIR SERVICE
2016,
2016,
2016,
2016,I FEEL THE TICKET PRICE IS REASONABLE
2016,USING THEIR SERVICES CAN SAVE ME TIME AND MONEY
2016,GOT LIFTS AND ESCALATORS IN THE TRAIN STATION SO DO NOT HAVE TO WORRY WHEN I CARRY MANY STUFF AND NEED TO CLIMB THE STAIRS
2016,FASTER THAN QUEUING AND TAKING A TAXI HOME
2016,PROVIDING OF PRIORITY SEATS AND QUEUES ARE IMPORTANT THINGS THAT THEY HAVE DONE
2016,
2016,"VERY CLEAN, FAST AND COMFORTABLE"
2016,STAFFS ARE POLITE AND FRIENDLY WHEN I ENQUIRE FOR STUFFS
2016,IT IS SAFE AND RELIABLE
2016,
2016,THERE ARE ENOUGH SEATS AT THE STATIONS BUT THE SPACE IS A BIT COMPACT
2016,THE FARES ARE CHEAP AND REASONABLE
2016,GOOD TO HAVE LIFT AS IT IS NOT EASY FOR HANDICAP TO GO UP AND DOWN OF THE PLATFORM
2016,WELL CONNECTED WITHIN MY NEIGHBOURHOOD
2016,ONLY NEED TO WAIT A WHILE FOR THE NEXT TRAIN TO ARRIVE
2016,IT IS SAFE AND CONVENIENT TO RIDE WITH LRT
2016,SIGNAGES SHOWING LOCATION OF TAXI STAND AND TOILETS REALLY HELPS ME MOVE AROUND THE STATIONS EASILY
2016,I HAVE NO PROBLEM USING THE TICKETING MACHINES TO TOP UP MY EZ LINK CARD OR PURCHASE THE STANDARD TICKET
2016,
2016,HAPPENED TO ME A FEW TIME ALREADY THAT I HAVE TO RUSH HOME AS THERE ARE NO TOILETS NEARBY
2016,FAST AND NOT CROWDED
2016,WELL MAINTAINED CABIN
2016,I FIND THE SIGNAGES IN THE TRAIN STATIONS IS VERY CLEAR AND HELPS ME NAVIGATE MY WAY AROUND
2016,
2016,HELPS ME GET HOME ON TIME
2016,I LIKE THAT THE STATIONS NOW PROVIDES FREE CHARGING POINTS FOR COMMUTERS TO CHARGE THEIR ELECTRONIC DEVICES
2016,
2016,THE RIDES ARE SAFE AND SMOOTH THROUGHOUT
2016,SERVICES ARE FAST AND THERE ARE NO TRAFFIC UNLIKE CARS
2016,THEIR TRAIN BREAKDOWN TOO OFTEN
2016,UNCLEAN TOILETS
2016,IT IS THOUGHTFUL TO EVEN HAVE TRAVELLATOR PROVIDED AT THE LINK OF THE DIFFERENT LINE
2016,
2016,TRAVEL TIME IS ACCURATE AND I CAN REACH DESTINATION ON TIME COMPARED TO VEHICLES
2016,
2016,THE INFO SUCH AS TRAVEL TIMINGS ARE NOT ACCURATE ENOUGH
2016,
2016,
2016,
2016,
2016,"THE TRAVELING TIME IS FAST AND ACCURATE, I CAN ALWAYS REACH THE DESTINATIONS ON TIME"
2016,THE FREQUENCY OF THE TRAIN SERVICES SHOULD BE INCREASED SO THAT IT WILL NOT BE SO PACKED DURING THE PEAK HOURS
2016,
2016,
2016,"STAFFS ARE RUDE AND NOT FRIENDLY, TRAVEL TIME TAKES TOO LONG TO ARRIVE AT DESTINATION"
2016,IT IS GOOD INITIATIVE TO HAVE CROWD CONTROLLERS BEING DEPLOYED DURING PEAK HOURS
2016,COMPENSATION FOR COMMUTERS WHO ARE AFFECTED BY DISRUPTION IS REALLY TOO LITTLE AS TAXIS ARE VERY EXPENSIVE
2016,
2016,THE TICKETING MACHINE TO TOP UP CARD OR PURCHASING OF STANDARD TICKET IS USER FRIENDLY
2016,TO HAVE CHEAPER ELDERLY FARES ARE BENEFICIAL TO THEM AS MOST OF THEM ARE NOT WORKING YET THEY STILL NEED THE TRAIN SERVICES TOO
2016,
2016,MORE ROUTES ARE COMING UP SO THAT IT WILL MAKE TRAVELING ON TRAIN TO BE MORE CONVENIENT
2016,THERE ARE PATROLLERS PATROLLING THE STATIONS AND TRAINS TO ENSURE THAT THERE ARE NO THREAT
2016,
2016,
2016,THE STAFFS ARE COURTEOUS WHEN THEY ARE CONTROLLING THE CROWD DURING PEAK HOURS
2016,THERE ARE TOILETS IN EVERY STATIONS WHICH IS VERY IMPORTANT
2016,
2016,
2016,
2016,"FAST, COMFORTABLE AND RELIABLE SERVICE TO DESTINATIONS"
2016,FAIRLY CHEAP TO TAKE THE LRT BUT PRICE SHOULD MAINTAIN
2016,
2016,"WITH ALL THE WAY OUT SIGNS, I ABLE TO FIND THE NEAREST EXIT EASILY AT THE TRAIN STATION"
2016,
2016,
2016,"WITH ALL THE SIGNAGES AVAILABLE AT THE STATIONS AND THE INSTRUCTIONS ARE VERY CLEAR, I CAN GET TO WHERE I WANT WITHOUT MUCH TROUBLE AT ALL"
2016,
2016,
2016,
2016,"VERY CROWDED, EXPENSIVE AND LONG WAITING TIME"
2016,CONFUSING TO TAKE THE LRT IN SENGKANG. NAMES OF STATIONS ARE HARD TO REMEMBER
2016,COMFORTABLE RIDE AND NO TRAFFIC UNLIKE BUS SERVICE
2016,SIGNAGES ARE CLEAR AND EASY TO UNDERSTAND WITHIN THE STATIONS
2016,"IT IS AS EXPENSIVE AS FEEDER BUS, BUT DEFINITELY MUCH FASTER THAN BUS"
2016,TRAIN IS FULLY AIR CONDITIONED AND COMFORTABLE TO TRAVEL IN
2016,MAPS SITUATED NEAR THE CONTROL STATION HELPS ME TO KNOW WHICH EXIT TO TAKE TO GO WHERE I HEADING TO
2016,CANNOT UNDERSTAND WHY THEY DON?T PROVIDE TOILET WITHIN THE STATION
2016,DRIVERS HAVE POSITIVE ATTITUDE AND DRIVING SKILLS
2016,
2016,BUS ALLOWS ME TO REACH MY HOUSE DIRECTLY
2016,BUS FREQUENCY IS CONSISTENT AND I AM ABLE TO GET A SERVICE AROUND 5-10 MINUTES OF WAITING TIME
2016,BUS CAPTAINS WILL LOOKOUT FROM THE MIRROR TO CHECK IF THERE IS ANYMORE PASSENGERS BEFORE MOVING OFF
2016,BUS IS TOO CROWDED
2016,BUS SEATS ARE COMFORTABLE
2016,DRIVER ALWAYS DRIVES SAFELY
2016,BUS FARES HAS BEEN INCREASING OFTEN
2016,
2016,BUS DRIVER ABLE TO GIVE ME CORRECT INSTRUCTIONS ON WHICH BUS TO TAKE TO REACH MY DESTINATION
2016,DRIVER IS POLITE WHEN I ASKED FOR HELP
2016,
2016,"BUS IS MORE RELIABLE THAN MRT, LESSER BREAKDOWNS"
2016,CONVENIENT AND ACCESSIBLE TO TRAVEL WITH BUS AS THEY ARE EASILY FOUND EVERYWHERE
2016,"BUSES NOW ARE MORE SPACIOUS, THEREFORE IT IS EASIER TO MOVE AROUND THE BUS FROM ALIGHTING AND BOARDING"
2016,JUST A BUS RIDE TO ME
2016,
2016,
2016,
2016,BUS IS ALWAYS CROWDED
2016,ONE OF THE BEST THING THAT EVER HAPPEN TO BUS IS THE REMOVAL OF THE IRRITATING TV ADVERTISEMENTS WITHIN THE BUS
2016,"THE DRIVERS ARE FRIENDLY, WAITING TIME IS QUITE SHORT TO GET A TAXI"
2016,MOSTLY DRIVER IS FRIENDLY BUT MIDNIGHT CHARGE IS TOO HIGH
2016,MOST OF THE DRIVERS WILL GREET ME WHEN I BOARD AND ALIGHT THE TAXI
2016,CONVENIENT AND COMFORTABLE
2016,
2016,
2016,"BAD EXPERIENCE RECENTLY, TAXI  DRIVER WAS REALLY RACIST"
2016,I CAN GET HOLD OF A TAXI EASILY IN SINGAPORE
2016,
2016,DRIVER IS VERY PROFESSIONAL BY OFFERING ME A FEW ROUTE FOR ME TO CHOOSE TO GO TO MY DESTINATION
2016,COMFORTABLE WAY OF TRAVELLING AROUND
2016,DRIVER GREETED ME POLITELY WHEN I BOARDED THE TAXI
2016,MORE CONVENIENT AND COMFORTABLE AS COMPARED TO BUS
2016,FARES CHARGED ARE REASONABLE AS I WANT TO REACH MY DESTINATION QUICK
2016,MOST OF THE TAXI DRIVERS ARE KIND AND FRIENDLY
2016,VERY EASY AND COMFORTABLE WAY TO TRAVEL AROUND
2016,I DON?T HAVE TO COMPETE FOR SEATS WITH OTHER PEOPLE
2016,MOST OF THE CABS I TAKEN ARE CLEAN AND WELL MAINTAINED
2016,ONLY TRANSPORT THAT GIVES SOME PRIVACY AND PERSONAL SPACE
2016,CAN HAVE THE WHOLE BACK SEAT TO MYSELF
2016,THE AIR CON IS COLD ENOUGH FOR ME DESPITE THE HOT WEATHER NOWADAYS
2016,
2016,I AM ALWAYS ABLE TO REACH MY DESTINATION ON TIME
2016,
2016,
2016,THE DRIVER IS DRIVING TOO FAST AND SEEM LIKE RUSHING FOR TIME NOWADAYS
2016,
2016,
2016,
2016,
2016,THE CAB DRIVERS ARE PATIENT AND PROFESSIONAL
2016,IT IS GOOD AS DRIVERS WILL TALK TO ME ALONG THE ROUTE SO THAT I AM NOT BORED
2016,THE TAXIS ARE CLEAN AND MAKE IT A COMFORTABLE RIDE FOR ME ALWAYS
2016,
2016,FAST WAY TO TRAVEL
2016,THE CAB DRIVERS ARE KNOWLEDGEABLE WITH THE ROADS IN SINGAPORE SO I WILL NOT NEED TO WORRY IF I DON?T KNOW HOW TO REACH THE LOCATION I GOING TO
2016,THE DRIVER WAS VERY PATIENT ALTHOUGH IT TOOK ME A WHILE TO GET THE ADDRESS FOR MY DESTINATION
2016,I ABLE TO REACH MY DESTINATION SAFELY
2016,DRIVER WAS ACCOMMODATING TO MY NEEDS BECAUSE I NEED TO GO THREE LOCATIONS AND HE IS OK WITH IT
2016,THE TAXI DRIVERS KNOW THE ROADS WELL AND I AM ALWAYS ABLE TO REACH THE LOCATION ON TIME
2016,
2016,MOST OF THE DRIVERS ARE FRIENDLY AND HELPFUL
2016,
2016,
2016,
2016,THE INFO PROVIDED ARE CLEAR AND ACCURATE
2016,"THERE ARE MANY PROMOTIONS ON AND OFF, IT WILL ALLOW ME TO SAVE LOTS OF MONEY TAKING GRAB"
2016,
2016,NOT EXPENSIVE AND ALLOW ME TO DO ON CALL FOR FREE
2016,DRIVER IS TOO DEPENDENT ON USING GPS WHICH SOMETIMES IS NOT ACCURATE
2016,
2016,"GRAB SERVICE DON?T CHARGE PEAK HOUR, MIDNIGHT CHARGE ETC. UNLIKE TAXI SERVICE"
2016,
2016,THE DRIVERS ARE SAFE WHEN THEY DRIVE AS THEY DON?T SPEED
2016,"APP IS EASY TO USE, RELIABLE AND FAST"
2016,THE ESTIMATION OF TIME ARRIVAL IS ACCURATE
2016,GETTING A CAB WITH THEIR APP IS HASSLE FREE
2016,
2016,THE CARS ARE NEWER AND MORE COMFORTABLE THAN CONVENTIONAL TAXIS
2016,
2016,
2016,MORE EXPENSIVE THAN NORMAL CABS
2016,A MORE PRESENTABLE WAY OF FETCHING MY OVERSEA CLIENTS AROUND
2016,
2016,"SYSTEM IS VERY RESPONSIVE, CAN GET ME A DRIVER WITHIN MINUTES"
2016,IT IS VERY TROUBLESOME TO SET UP THE ACCOUNT AS I NEED A CARD SO THAT I CAN MOVE ON
2016,SOME DRIVERS WILL CANCEL TRIP WHEN THERE IS A SUDDEN PRICE INCREASE IN FARES WHICH I THINK IS VERY INCONSIDERATE
2016,
2016,"TIME SAVING, FASTER TO GET A CAB THIS WAY"
2016,
2016,THE APP IS USER FRIENDLY AND IT TAKES NO TIME FOR ME TO FAMILIARISE HOW TO USE IT
2016,
2016,I THINK THEY ARE CHEAPER THAN TRADITIONAL TAXIS
2016,I CAN USE THIS APP IN OTHER COUNTRIES TO BOOK CAR ALSO
2016,
2016,
2016,
2016,HASSLE FREE WAY OF GETTING A TAXI
2016,THEY GIVE ME DISCOUNTS FOR MY TAXI RIDE
2016,DRIVER IS NOT PROFESSIONAL
2016,APP IS FAST AND EASY TO USE
2016,I FEEL SAFE HAVING MY PERSONAL DETAILS IN THE APP SERVICE
2016,THE APP LOADING SPEED IS VERY FAST AND STABLE
2016,
2016,
2016,
2016,DRIVERS FRIENDLY AND WILL GREET ME WHEN I BOARD THE CAB
2016,
2016,IT IS SIMPLE TO USE THE APP TO GET A TAXI FOR MYSELF
2016,
2016,DRIVERS ARE COURTEOUS AND FRIENDLY
2016,
2016,
2016,THE CABS ARE NOT COMFORTABLE AND DRIVERS ARE NOT SAFE WHEN DRIVING
2016,
2016,"JUST CLICK, TAP AND BOOK, VERY EASY"
2016,THE DRIVERS KNOW THE ROAD VERY WELL WHICH ALLOW ME TO REACH THE DESTINATIONS ON TIME
2016,THERE ARE LIMITED OPTIONS OF VEHICLES BEING ABLE TO CHOOSE FROM COMPARED TO UBER AND GRAB
2016,APP IS SELF EXPLANATORY
