year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,i am satisfied with services however sometimes the driver is driving too fast or break too hard which makes me feel unsafe as bus do not have seat belt and my body moved forward due to the sudden break,drive smoothly and gentle stop would be nice
2020,pretty good..... some irregularities of timing and driver skills but overall ok,punctually
2020,Generally satisfied except for the frequency in the mornings which can be very long.,Bus frequency in the mornings.
2020,"Overall is satisfactory, of course nothing is perfect but sometimes still have room for improvement",Air conditioning sometimes is way too strong
2020,"Overall it is good but the frequency need to be allot more consistent as the area i live in is new and 883 is the only bus fetching people from the estate. Now due to Covid 19, there are lesser crowd but before covid, the bus is always cramped during peak","Thank you for being patient to the commuters , try your best to be punctual. loct count of how many times i've seen 2 883 arriving at the bus stop in the same time"
2020,some bus drivers were very helpful and drove safely but some do not,frequency
2020,Overall satisfied with the condition of the bus. But the driver sometimes drives too fast.,The driving skills.
2020,The bus is very nice and it has high frequency. It is always very clean.,Maybe being more consistent in arrival times.
2020,They are punctual and comfortable. No complaints of it so far except sometimes there is a longer interval time,Interval time
2020,"It's a bus, but they are clean and tidy.  Timely and we'll proceed",Keep the price low
2020,Smooth and good ride. Bus felt clean too.,"State destination when the passenger boards, as my bustop has both directions coming in and there are rare instances of drivers putting the wrong destination display."
2020,positive feedback only,frequency
2020,good,lower fares  more frequency
2020,9.5  I think that bus 985 is doing very well,n/a
2020,Frequency of 20mins is unacceptable. Need to rush for work and journey takes 65mins.,Frequency as bus is crowded. Prefer double decker.
2020,"The bus rides tend to be jerky, so I sometimes get carsickness.",Hiring drivers who drive smoothly.
2020,Daily commute and overal positive experience without much to complain about the operator,Deploy more double deck buses during peak hours/hours with high commuter numbers
2020,No such reason,Nothing
2020,Sometimes bus drive too quick then we lose balance.,Nothing much
2020,Met expectations for most journeys.  Some jerky rides that cause the ride to be uncomfortable,Friendliness of the operator
2020,Being a user for the bus daily I have experience daily with the bus considering the timing/ frequency/ comfort / driver and etc.,Appearing more welcoming for customers like us to feel welcome to use the service
2020,usual ride,
2020,"This is the fastest bus with shorter detour to yransit between dtl to home.  However,  the bus is less frequent as compared to other buses that's with longer travelling route",Increase frequency of bus from 15th mins and 20th mins  frequency to 10 mins apart.
2020,"Bus frequency is mostly accurate, little bus bunching, reasonable frequency during peak hours",
2020,just right,more frequency
2020,"No complains from me so far, and I enjoy bus rides more than train rides anyway",No comments so far
2020,No complaints,Speed of the bus and timing
2020,I am satisfied with the service.,Can’t think of any
2020,bus timing accuracy not very accurate and the time it takes to travel are inconsistent,bus travelling speed
2020,Bus shoukd,The politeness of bus driver
2020,fast to reach destination,air con can on till cooling
2020,too expensive fare and frequency too long,lower fare and increase frequency
2020,Generally good,Readability of the bus signs.
2020,The type of bus and its cleaner compared to other operator buses.,frequency during non peak hours
2020,"often the intervals are v long for the bus to come.   Drivers' driving very jerky  altho some do wait for seniors to be seated before moving off, but   drivers often step on the brakes suddenly on a journey so passengers do get thrown about and is dangero",Train drivers to drive more smoothly as passengers' safety are at stake esp there will be more and more seniors in future.
2020,From experience compare to others,Reliability
2020,Its good. Its new. It still smells new.,Nothing at all.
2020,Behaviour was so good,Take more security about corona
2020,Grab is convenient to use. Drivers are nice and friendly. The fare is a bit too expensive though.,More vouchers/ discount codes
2020,They put the customers priority as the first,Their app
2020,They're just exceptional,Time wasting at bustops
2020,Reliability   Comfort   Safety,Cleanliness
2020,The quality of the service received,On the area of technology
2020,It a nice one,Good
2020,Sustainability and accountability,Customers care
2020,I really love the service of the bus,They’re short of nothing
2020,"Frequent breakdown of trains during peak hours on weekdays morning, causing office staff to grab cabs or take buses.",Frequent Maintenance of the trains
2020,Gojek is best and very relevant to me.It gives best services and I am very reliable about it.,Yes it can improve on in future
2020,I've gotten a good experience with smart taxis so I guess it's worth rating them,Maybe the time at which they arrive but it's it's encouraging right now
2020,Because I've been satisfied with the services,Accuracy
2020,Comfort/City Taxis have really met my unexpected expectations ever since have been using them. It takes few minutes for them to get to me.,Employ female drivers interested.. I love all their drivers
2020,The services rendered met my satisfaction,Technical aspect
2020,Accurate and accommodate,Improve on their speed
2020,"On a whole, the people involve are doing a very good job.",Never rest on their laurels.
2020,"The services given by Transcab (Union) are wonderful, and I recommend the company to all",The company have to improve on the locations of their service
2020,Good service,None
2020,Overall I'm happy with the operation of bus 960,The bus captians could be more polite and they could smile to passengers while they are boarding.
2020,Slow arrival. Crowded bus always. Must have more frequencies,More frequencies.
2020,I am satisfied with the service as I know what time I will reach my destination.  No issues.,Safe distancing measures during pandemic.
2020,It is cheap and easily accessible,Their app
2020,Yeah it's more faster,Fast go slow
2020,I like,Everything ok just staf must talk politly with passenger.  Bcouse I see sometime some staf people no nice talk  . Mostly good just some people like this .
2020,I feel that NEL has been quite reliable overall. There were some disruptions along the way but is still manageable.,Less disruption during peak hours.
2020,Short waiting time,Safety
2020,Good services,Use new trains
2020,"I think that everytime i board the bus I feel that the bus captain always smiles and greet the passengers,the bus is always clean and I feel safe on the journey.",Maybe have more buses because in the evening around 6-8 pm there is a lot of people wanting to board the bus as they have just finished their work and going home so there is no space to board the bus but other then that I think that they are good.
2020,Awesomely unique,Just keep it up
2020,So far there is not much changes only recently the social distancing is rather annoying..,The temperature in the train.
2020,The rate given is from my experience with the 188R but I believe after taking some surveys into consideration there will be a change positively,Speed
2020,good enough,more seats
2020,Before they reach my location,The average waiting time
2020,They are good value for money,More precise pick-up locations
2020,Experience,Politeness
2020,Need to wait some time before taxi is available to flag down,More taxis in heartland areas
2020,Grab is customer friendly,"They are always up their game, I love Grab"
2020,Because it exceeds my expectations based on experience,Improve on application
2020,It is awesome,I think on the number of trains
2020,They provide good customer service,They should improve on their advertisements to encourage more people
2020,It is overall great. The only negative would be the waiting time for the bus... sometimes up to 20mins and the cleanliness of the inside of the bus sometimes (tissue stuck between seats),cleanliness and frequency of busses
2020,service is good,frequency and speed in between long station to make shorter.
2020,It fits the downtown line perfectly,Customer services and also prices
2020,"Overall, riders are getting more responsible",Ability to drive
2020,They are strict and always ready in carrying out their services when they are needed,Getting more offices nearby to ease and smooth the carrying out of their services more
2020,I enjoyed the ride and never had problems,The comfortability of the ride
2020,It's very helpful to transit and maintain my time calculation.,Disital display board inside the train should renew.
2020,it has its fair share of really good points,interaction with passengers
2020,Efficiency in rendering service,Timing
2020,very good app,it's already good enough
2020,The operators were quite friendly and accommodating,They're doing a good job at the moment
2020,Is it consistent in its frequency,Nothing much
2020,"Efficiency, trust and reliability",For now I really think everything is okey as it is now
2020,The ratings I've given SMRT Taxis are based on my experiences comutting with it.overall I'm quite impressed with the services rendered by SMRT Taxis,"I think SMRT Taxis can improve in the ares of pricing, smarter driving and more comfortability of customers."
2020,Better services,Available app communication
2020,nice,No
2020,"Their service are fast, seamless,and their customer support is very attentive and active",Time of arrival after bookings on app
2020,I enjoy all of their services,The should add more seat
2020,Good,Nothing
2020,They are doing well,Drivers' passengers relationship
2020,They have been somewhat satisfactory to my needs,They fares. A little discount should do
2020,Very comfortable,On customer services
2020,I love this brand so much without any issue,This is unique and outstanding without any issue
2020,Lesser waiting time   Drivers are friendly,More availability
2020,waiting time long and taxi cleanliness,cleanliness and waiting time
2020,satisfactory,capabilities
2020,Overall happy. but very crowded.  Need more frequency,frequency
2020,"Long time user, and their standards have only improved over time","Price can always be more competitive, and their app can be more far reaching like gojek or grab"
2020,"I am satisfied overall on the services rendered by 970. One of the main issue is the frequency of the bus, the longest wait time being 25mins approximately.",Increase the frequency of the buses.
2020,Hardly breaks down,Train Aircon has to be better
2020,So far the bus services still acceptable,Cheaper bus rate and increase more bus schedule during oeak hours
2020,no comment,
2020,,
2020,There was once when the grab driver was sleeping nearby and he cancelled the trip after me waiting for 20 mins and it’s so troublesome to make a complaint and did not get back to me by grab,Lots of issues. Like the complaints of passenger
2020,Drivers are impolite and impatient,attitude of its drivers
2020,"high Frequency, fast route due to highway",None
2020,No particular reason,Ok
2020,"peak hour in the evening very crowded. but good that the frequency is every 2min. off peak hour frequency very long, like 6mins :(","speed of train moving,"
2020,Nothing to complain about.,Can't think of any.
2020,I like them,I like it
2020,The arrival time and drop off time were always accurate. The ride are also more comfortable compared to regular taxis.,Ride cancellation by driver could be an option provided to driver earlier compared to near pick up timing.
2020,"They can improve a lot better. We used to have 6 machine to top up our cards, now only 2 machine. Instead of improving efficiency... They are making it worse. Long queue to top up. Station staffs are not knowledgeable.",Staffs to be more knowledgeable. To have more top up machine. To maintain lifts and escalators during non operation hours. The escalators are always in maintenance...very annoying. More help for seniors and needy to get seats. Should not keep increasing f
2020,"On time, frequency of train is decent, comfortable trains to ride on",The speed of the trains can be a little faster
2020,"once, the driver didn't have change and i used paylah instead to the driver and there were lots of error when i was in a hurry. That left a very impression on me","punctuality of arrival, and continue maintaining affordable price"
2020,Very satisfying,Their customers service
2020,Trains are now quite new.The overall trains cabin is clean and well maintained.Train arrivial   on time,currently none
2020,overall not bad experience.,nothing much
2020,bus is often late and very very crowded,"frequency, size of bus."
2020,There is room for improvement,"Fare charges, frequencies of the trains"
2020,They are so efficient and provide much comfort,Their availability
2020,Drivers may sometimes be rude. Not flexible and everything has to follow by the book.,Educating their drivers.
2020,Good so far,
2020,I think that overall the ride is comfortable,Maybe inform the public about the maintenance of the train.
2020,Because it's the best bus so far I have used and I enjoy it when ever am there,Everything is owk
2020,Im ok with there services and I will continue to do so.,Its ok with me.
2020,"The service is reasonably good, considering its a public bus service",Frequency of buses can be improved
2020,They offer the best road services one can ever think of,Definitely nothing everything is perfect
2020,Good service,Reduce speed
2020,As i m a business man and  i have to travel some countries often in a time frame so in my journey time i use their internal train as my transport so simply i have compared the circle of my country with the others so i got up which ones best,The cleaners i guess they increase by numbers so that it remains risk free
2020,It was based on my level of satisfaction and experience,Time
2020,Because its the best so far,Everything is ok
2020,My choice,Nothing
2020,"sometimes, the driver accepts my booking even though he is far away when i am in a rush",make timing more accurate for drivers coming for pick up
2020,Vehicle conditions very good,Definitely
2020,can be better,the train breakdown frequency
2020,it is generally satisfactory,can be more polite
2020,Best,Improve
2020,They are good,All sides
2020,Satisfied with their services all the time,Strong Loyalty Schemes
2020,They are very easy to communicate with and their services are swift and nice,Arriving more faster to my location
2020,"generally clean, on time and great service",more seats
2020,The have safe mode of movement,By reducing waiting time
2020,Because i enjoy good services from them so far. And no stress in my movement,Friendly customer environment
2020,it is generally an enjoyable experience to ride on the circle line,accuracy of timing for arrival of train
2020,they have been doing fantastic job.,Expansion
2020,The availability and functionality of their vehicle,Price
2020,So far so good,"Yes, for the accuracy of arriving time"
2020,Seems the best,Communication with people
2020,good,speed
2020,Price cheaper than Grab and have voucher discoubt,More discount
2020,Because they provide best services in the industry,I think they're doing just fine
2020,They are trying their very best in rendering their services.,Nothing for now
2020,no issues on grab so far,less waiting time
2020,"SMRT taxis have met my expectations. I've managed to flag them down after reasonable durations, i give them my locations, they have little difficulty getting there or understanding my needs and they drive with minimum fuss.",More taxis during peak hours would be great
2020,frequency wise can be long duing peak hr. a times cannot board. its hard if students need to take this bus to sch,frequency. this bus goes to many schs soo its impt its frequency is often during sch hr
2020,Based on my experience with them they have good customer support,smooth and calm riding
2020,Their services are impressive.,Waiting time
2020,They meet my expectations.,Courteousness of driver.
2020,Very good,Nothing
2020,My reasons are genuine and obvious,"Nothing really, it's perfect"
2020,Service is mostly reliable,
2020,It is a reliable train service that I use everyday without fail.,Fare
2020,Feel justified,Probably on the frequencies
2020,"Sufficient quality and comfort.  Just that size of bus needs to be larger, so a number of times, it is single decker, when it needs to be double.",Larger buses
2020,So far so good,To ease overcrowding during peak hours
2020,Trains are overal ok but operators do not seem to be trained to handle disruption. Sometimes trains are dirty with wrappers and tissues on floor.,Cleanliness and handling of disruption
2020,"I think they can still impress me more with their service, but am happy with the service provided",On safety and care
2020,Generally the fare is very competitive. However the service is very basic. Nonetheless it's still way better than the normal taxi. At the minimum they will not complain about the destination.,try to give more promotions. ask the driver to keep the car cleaner. Finally a bit more courtesy is always appreciated.
2020,"Grab has a good fleet of drivers, but the prices have been rising over the past few years.",The price and % cut it takes from the drivers
2020,Its very reliable,Change all the old trains to the new ones
2020,I have some improvement in term of breakdown rate and the level of service. Keep up the good job.,It would be good there is no more fare revision in the next 4 to 5 years.
2020,I enjoy and get complaint resolve anyway,Easy deals for boarding
2020,"I've travelled around the world and think the train system in Singapore is one of the best: Efficient, affordable, well connected, safe, clean.",More ease for people with disabilities to board the train and ensuring security and space for them
2020,"Best train service compare to HK, Japan.",Can have a ladies only section?
2020,Long waiting time for bus to come,Improve on the frequency of buses
2020,Convenient and ease of usage,Reduce frequency of train breakdowns
2020,I rated it based on performance,Improvement in terms of customer service
2020,"generally good, but cab fare is higher than what i am willing to pay",lower cab fare
2020,Not bad but the fares can be lower,lower the fares
2020,Drive safely and reach the location on time,Be more vigilant
2020,No comments,Lower pricing. More cabs available at my area.
2020,they are a very great company,everything seems good at the momrnt
2020,readily available and short waiting time,their cars can be better cleaned
2020,n/a,n/a
2020,It is the most continent,I can't say
2020,from past experiences,on the time frequency and travel time
2020,It's really serve a purpose,It gives you the edge among others
2020,So far so good,Quality of driver’s skills
2020,The bus drivers are often patient. Quite punctual. Not congested except morning n evening peak hours.,May want them to put up double decker buses during peak hours especially from 7.15am to 8.15am onwards
2020,"overall they provide the convenience of travelling to another destination. However, train frequency are too long sometimes and timing was not accurate.",more train frequency; more accurate timing
2020,grab offers great range of products,reduce food delivery waiting time
2020,They've been available anytime I call on them. They don't stress me that much and I'm comfortable with the ride 80% of the time. So I think those ratings match my experience so far.,Responsiveness. They should try not to delay a customer for too long.
2020,good service,give more discount
2020,The best quality of service,None becuse their services is already good
2020,because they are good,they are doing well
2020,They meet my needs and are punctual enough for me to plan my everyday on and also reliable enough to follow,The lift is highly inconvenient to reach
2020,"It was really nice to book for the taxi,they do response to order within a short period of time",Not really much they should keep up the standard
2020,no comment,na
2020,as long price & timing is OK.,accuracy of info on app
2020,"The customer service is good, the vehicle is clean and the ride is smooth.",The waiting time for the vehicle to arrive.
2020,Neutral opinion of bus drivers as no interaction,
2020,Great,No
2020,I have a good negotiation and interaction with the drivers,Having more cabs that operate in the urban area
2020,"My reason is that ever since I started using bus 52, I have not been disappointed and am very impressed",Nothing I can think of
2020,"Their accuracy is unique. The way customers are being treated is outstanding,and so far my experience with them has been great. So they deserve all credits.","All services rendered are good in all aspect. So for better growth and enlargement,i believe in all aspect because the more improvement,the more growth it yields."
2020,I consider them as the fastest growing train service in my region,Price for services render
2020,I love their services,App
2020,"I think overall, Uber still is the best ride getting service but I have two bad experiences with drivers.",Focus on driver training and enlightenment
2020,The services is okay by me,None
2020,I gave that rating because the North-East line has a very good service with excellent security system and comfortable ride.,I think they should work more in more buses or trains. They are good in the other aspects
2020,It is very good and interesting taking the bus,It can improve the safety
2020,I ride this bus number every day going to work and I just shared my experience.,Frequency of the bus number.
2020,train frequent abrupt break from novena to newton,see earlier feedback
2020,Haven’t met any issues so fast; train frequency can be quite long at times,
2020,Its up to standard,Aircond-nise some stations
2020,It offers a good affordable price,Having more friends staffs
2020,The best for the best for the the same thing,They are already doing fine and I love it
2020,Because they have been serving Singaporean well,Making their customer service operative always
2020,Due to the current circuit breaker measure there is still no issue on the frequency of the bus but that I am not sure after the CB measures is lifted and all most of people went back to work. Will have an issue implementing the social distancing.,
2020,not bad. gets me from one place to the other.,probably the speed of transport + number of seats
2020,They are compatible and straight forward,Early booking
2020,the comfort of the ride and the price i am paying for monthly and how crowded it can get during peak hours,frequency of bus at peak hour
2020,Satisfactory services,Smile more
2020,"It is very crowded before the circuit measures were in place, thus making the ride uncomfortable.",Frequency of train to increase to reduce crowded.
2020,Because of their great services,They are doing great at the moment
2020,I have had nothing save from satisfaction for using Grab hence the ratings,I think Grab is good to go;
2020,service was excellent from the driver,they done a good job already
2020,i want,nothing
2020,"For the few times in a month that I've made use of SMRT Taxis, I've been impressed by their all round services and I'm infact tempted to use them more often than my private vehicle",Availability of more vehicles
2020,I usually use NEL,Not sure
2020,Because the are reliable and trustworthy,On their line
2020,Because of their reliability,Payment method
2020,"I seldom take but when I need, it happens to be available within sight.",
2020,"It is high frequency, and normally on time.","Cleanliness, and improve the arrival of bus, especially when there is a jam at the Woodlands custom."
2020,"I like the frequency, bus cleanliness and the route.",Nothing really because it does take me on time to places I want to go.
2020,I believe each rating fits well with each question.,They could improve on the level of customer service
2020,"friendly, reach destination faster and price not expensive. know the short cut, save my time",maintan same standard
2020,It serves its purpose.,Safety of their drivers. Some drivers speed.
2020,Crowded,"Passenger seat, crowd"
2020,Am satisified with the current arrangements. Though there has been occasion where the inofrmation is not in sycn with estimated arrival times.,cleaner toilets/
2020,"Up to standard, except for upgrading time, the train service are totally messy","should change cabin, too old"
2020,It's cool and great most times,Availability of cars and accuracy of time
2020,They are pretty reliable.,More competitive fares. And maybe provide benefits for regular users?
2020,Excellent Service,So far so good
2020,I love taxis,To buy more taxis
2020,"its more than satsifactory, nothing major that cause any discomfort the entire journey",
2020,its what I feel about the service,Nothing
2020,I think price is a big factor,Ease of getting a ride during peak or late nights
2020,"short waiting time, accurate GPS, drivers always found their way.",loyalty points
2020,Services,Customer service
2020,"I love the blue line. I can travel to many places easily and quicker than before. It is clean and quiet too.    The downside is the lack of outside views, and it is getting crowded during peak hours. It is confusing to get around at Chinatown Station too.",1. Indicate where is the front and back of the train before we enter the train.    2. Clearer signs at Chinatown.
2020,No comment,
2020,SMRT Taxis arrive on time when i book via the app.,Provision of more Taxis
2020,There have been no personal issue with them,He should improve on his patience because not everybody knows how to talk politely
2020,"There need to be more vigilant officers in catching people not wearing masks, especially Indians. They like to wear mask below the nose level which increase the chance of spreading COVID19.   I do not understand why this particular race has always been gi",Limiting to a certain number of passengers per cabin during this COVID19 pandemic period.
2020,Based on the many experiences I had on gojek here is my list of what I expect of gojek:    1) ease of booking  2) no issue pick up n drop off point  3) non conversational I like to travel in peace  4) fast payment processing  5) accurate estimation of arr,Keep things as good as they have been for me - no need to improve :):):)
2020,There is room for improvement,Customer service
2020,Easy to use app and many cars available. Great points system,Point system recently devalued. Please mk it more attractive again.     Less peak hour surges
2020,Because they meet up to standard,Price
2020,Because is good to use it's easy to use,They can improve in the enough of buses
2020,Satisfied with the service,Frequency of trains
2020,i have been travelling for quite some time. and i feel satisfied overall,the breakdown of mrt will cause a lot of trouble
2020,"So far Grab had never failed me, they are within my tolerance of waiting time.",nothing i can think of.
2020,it has rarely broke down but it is often crowded,frequency
2020,Because is good and reliable,Nothing
2020,Smooth and fast bus rides,Interval between waiting for buses
2020,nothing special it gets me to my workplace,frequency
2020,"I do not really like the  smell of the taxi, but the rest of the areas were very good.",The smell in the cabs.
2020,I find travelling in Circle Line comfortable and the staffs are very polite and helpful.,Maintain the standard is good and as more commuters are getting older so staff should help during peak period for the elderly to board the train with sufficient time.
2020,Provide convenient but price not much cheaper,Pricing
2020,Very easy to get a phv using the app. only bad thing is that grab app always bring the driver on the longest route.,Having more GPS routes installed such that can choose the shortest route instead of going the long route.
2020,"Sometimes, staff in train should walk up down instead of standing infront of train. Maybe there is guideline for staff to stand infront for the whole journey",As per earlier reply
2020,"I am still a student so I have to take the train everyday to school, but I think the frequency and timing is a bit off sometimes because when the information says 5 min, it took longer than 5min to come.",The updates and information of the arrival of the mrt
2020,It has been very efficient when needed,waiting time can be greatly increased
2020,Good love them,Very go its
2020,It’s relatively reliable. Fast and easily accessible,The timing
2020,No problems encountered.,None.
2020,fast and not very crowded,idk
2020,I'm quite satisfied,Cleanliness
2020,"Safety, convenient, reliable",Booking system
2020,It's good!,nothing
2020,It’s the only train line in my area and it does do it’s job,Crowd control
2020,Safety and proper train information,Durability and equipment maintenance
2020,Availability,Absolutely nothing for now
2020,Quality services,More payments options
2020,It give  better service,Better  service
2020,Reliability and punctuality,More help to mothers
2020,It's been fantastic working with them,Nothing much.. I love it
2020,"Positive experiences, good quality of bus and ride",Evaluate routes to ensure proper connectivity
2020,I had a good experience with it,The security
2020,Some taxi does not stop even when is lighted green. No indication of shift change or end shift. Driver stops to ask destination and then pick and choose. Often you will loose the next cab behind if the first driver does not take the ride. Some driver insi,Do not pick and choose passenger if they are lighted green
2020,Because it very well and good,More than
2020,"Very responsible, smooth sailing journey and overall great experience getting to and fro from place to place.",Number of buses?
2020,They have the best customer service,Nothing specifically
2020,Good service,Accurate timings
2020,"All was good, no reason to give any negative feedback.",Just maintain this current standard.
2020,How great is a service expected to be?,Can but unrealistic for the price.
2020,The train so far quite clean but still need to improve as when is crowded circulation of air may not be good enough or slight warm.,"Air circulation of aircon, improve of space, add some back ground music or paste some nice greenary pic like flower or cute pets."
2020,The services delivered has been of good quality and professionalism.,I believe they can do better in service delivery.
2020,There availability are superb,Nothing there services are ok
2020,Because it is very convenient,Aplication maintenance and support
2020,They are really providing good services,The rate of getting to destination if called
2020,The are very reliable,More technology advancement for payment
2020,service n timely arrivals,
2020,Because of the safety  Comfort of traveling during transportation   Convenience,Improvement on their modes of payment  Improvement on their cleanliness   Improvements on safety
2020,"Downtown is always efficient, I've had no reason to complain about their services whatsoever.",Maybe helping the elderly more and making priority seats more efficient
2020,They meet my expectations by coming on time and always took the shortcuts to reach my destination on time,There drivers should be well train on how to relate with customers and improvise the app
2020,realiability,customer support
2020,Because it's good,Just keep moving
2020,They are the best so far that I have used,Everything is ok
2020,They're good at what they do..they don't disappoint,Everything is perfect
2020,I rated Downtown Line (Blue) very high just because my expectations were exceeded,Its customer service aspect
2020,Is operator is Good. And listen to passenger complain,It almost perfect so I don't think of any improvement for now
2020,It is very easy and simple to use,Nothing to improved
2020,They have good service and less charges,Improve on their app interface
2020,I had a good experience traveling with their train,The security
2020,It has a very friendly driver,Having more friendly drivers
2020,a quite perfect service to enjoy a local trip for destination,dealings with passenger
2020,Because they are very reliable,Sharpness
2020,Because it is very easy,Nothing to improved
2020,Credibility,Price
2020,It's services are exceptionally good but I think there is room for improvement,There is nothing I can think of
2020,as i have traveled many foreign countries and i used their lrt/mrt as my transport so i get the circle line much better than them,put some more stuffs in ticketing department
2020,I love them,I think they are doing very well.
2020,They are best for there services,Nothing
2020,They hardly have a  faulty car,It should improve on time
2020,Convenience and reliability,Cleanliness
2020,service rendered,interaction with customers
2020,Good service at its peak,None for now
2020,IT is Easy to get,It should improve on availability
2020,Best,Can't say
2020,Because they are tested and trusted,Technologically
2020,Smooth and seamless travel,Better crowd control
2020,It has great service and potential,Their wating time and food
2020,BECAUSE THEY ARE DOING GOOD,they are good already
2020,It was worth the price value and time,Nothing
2020,They provide a highly rated service to their customers at all times. And help you locate where you want to go,The number of taxis available to commuters
2020,Uber remains the best ride hailing service,Courteousness of their drivers
2020,Grab is very convenient and the prices are affordable,Nothing
2020,"because every day i following ns line ,so i feel comfort and good enough clean","train timing on public holiday,same delay need to improve"
2020,My reasons are simply because they deserve it as they do their best for customers support,Just more access to online
2020,It is fast and reliable,On its price
2020,"overall it's quite good but sometimes driver took very long to arrive, sometimes driver told me to cancel the trip because he didn't want to come to my area.   Before there was a column to write or add option before getting a car but Grad canceled the fun","Put more options on the app before book the ride such as: pet, luggage, additional tips, etc"
2020,"Whenever I use the East-West Line, it's mainly for long distance travel but most of the time I do not get to sit and I have to stand for almost 1-1.5hrs.",Making the train rides more comfortable with better seats
2020,I lovr the service,Discount
2020,Actually I'm quite satisfied with their services.,"I'm satisfied with their services ,"
2020,They are trying but they need to up their game,To always arrive in time
2020,They honestly have good services.,Improve on having more trains
2020,I like how they are threaten there customer,Try should optimize time of pickup
2020,Their services are excellent,Attending to people more faster
2020,My recent rides have been comfortable and smooth,Arrival time
2020,Basicly good,"Improve prequence, reduce cost"
2020,They meet my expectations.,Interaction with customers.
2020,"I don't take this line often, but it is very convenient for me",I think there's nothing much it can improve on
2020,positive experience,bus freqeuency
2020,The overall service was cool and hassle free,He is a very polite and courteous driver
2020,NA,NA
2020,It's very efficient in relative to others.,They are quite impeccable for me
2020,"I was very Satisfied with how they operate,So far I can't imagine another bus experience m though they aren't perfect but that have the interest of the average customer in mind","I think they can improve on their professionalism, Getting to the bus station the same time as their Mobile app instead of one having to wait hours before arrival"
2020,"simply go exit tap should show fare instead of bank use    mrt train cabins sometimes have stale air, air conditioning not working",improve air conditioning
2020,so far so good with the experince,better pricing
2020,This line  has faster travel than red and green line  and less breakdown,can display a pole state that near by amenities to lead the signage
2020,"Some driver deviate from direct route to destination on the pretext of GPS auto route, As an observer, driver clearly deviates from the GPS route resulted to route being recallibrated on many occasion. Hence increased the time travel. Feedback to service","Comfort in general is still the choice as compared to private hire. It could be due to the corporate image vs private. Perhaps, company can instill certain standard service level of the fleet."
